ID	Keyword Value	Keyword Status	Pricing Type	Keyword Match Type	Destination URL
282163091263		ON	CPC	BROAD	http://www.miniinthebox.com/oil-pollution-cleaning-automobile-engine-pipe-with-reinigungspistole-spray-gun-tool_p4815979.html
282163090732		ON	CPC	BROAD	http://www.miniinthebox.com/obdmate-diagnostic-tool-obd2-obdii-eobd-code-reader-om510-gasoline-cars-and-a-part-of-diesel-cars_p1516838.html
282163096883		ON	CPC	BROAD	http://www.miniinthebox.com/obd_c9859
282163094005		ON	CPC	BROAD	http://www.miniinthebox.com/nintendo-ds-accessories_c623
282163093272		ON	CPC	BROAD	http://www.miniinthebox.com/night-vision-back-up-wide-angle-car-rear-view-camera_p4816843.html
282163094703		ON	CPC	BROAD	http://www.miniinthebox.com/new-products/
289291383378		ON	CPC	PHRASE	http://www.miniinthebox.com/new-powerfully-charging-series-5-1a-3-usb-car-charger-adapter_p2513586.html
282162964875		ON	CPC	BROAD	http://www.miniinthebox.com/new-arrivals_c4955
282825712846		ON	CPC	BROAD	http://www.miniinthebox.com/new-arrivals-2_c7499
282163091140		ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-lighting_c9904
282162963628		ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-gloves-mini_c10292
293745800774		ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-fittings_c9906
282163000648		ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-atv_c9822
293745800725		ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-atv-parts-mini_c10291
282162999598		ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-accessories_c5219
282825712865		ON	CPC	PHRASE	http://www.miniinthebox.com/html/miniinthebox-publicity.html
282825712852		ON	CPC	BROAD	http://www.miniinthebox.com/mini-v1-5-elm327-obd2-bluetooth-interface-auto-car-scanner-diagnostic-tool-for-android_p888488.html
282162971543		ON	CPC	BROAD	http://www.miniinthebox.com/mini-dual-usb-car-charger-for-iphone-ipad-samsung-and-others-5v-1a-2-1a_p1813113.html
282162995497		ON	CPC	BROAD	http://www.miniinthebox.com/measuring-tools_c9861
282163090103		ON	CPC	BROAD	http://www.miniinthebox.com/marsing-h7-20w-7000k-1800lm-4-cob-led-ice-blue-light-car-headlamp-foglight-12-24v-2-pcs_p1887781.html
282163093905		ON	CPC	BROAD	http://www.miniinthebox.com/lossman-hot-auto-double-usb-car-charger-waterproof-fashion_p4788940.html
282162996094		ON	CPC	BROAD	http://www.miniinthebox.com/lossman-car-ship-double-usb-car-charger-fast-automatic-cigarette-lighter-digital-voltmeter_p4788941.html
282163095829		ON	CPC	BROAD	http://www.miniinthebox.com/lorcoo-simcarbon-3d-carbon-fiber-vinyl-film-wrap-black-12-x-50-sheet_p4065018.html
282825713043		ON	CPC	BROAD	http://www.miniinthebox.com/lorcoo-100-30cm-car-light-membrane-translucent-scrub-rear-light-film-free-gift-edge-squeegee-knife_p4709584.html
282163096684		ON	CPC	BROAD	http://www.miniinthebox.com/led-lighting_c4685
282163093097		ON	CPC	BROAD	http://www.miniinthebox.com/knowledge-base/
282162971044		ON	CPC	BROAD	http://www.miniinthebox.com/key-chains1_c9891
282163092348		ON	CPC	BROAD	http://www.miniinthebox.com/jewelry-watches_c4676
282163097103		ON	CPC	BROAD	http://www.miniinthebox.com/iztoss-170pcs-100mm-2-1-ratio-6-size-1-2-2-4-3-2-4-8-6-4-9-5-0-6-4-8mm-polyolefin-heat-shrink-tubing-sleeve-cable-kit_p4812211.html
282163095742		ON	CPC	BROAD	http://www.miniinthebox.com/accessories-for-ipad-2_c4137
282825712867		ON	CPC	BROAD	http://www.miniinthebox.com/interior-car-accessories_c9820
282163090541		ON	CPC	BROAD	http://www.miniinthebox.com/interior-car-accessories-c9820-car-charger_c10512
282162982687		OFF	CPC	BROAD	http://www.miniinthebox.com/i1000-hd-1080p-dual-lens-camcorder-car-dvr-dash-cam-black-box-with-rear-view-camera_p1679791.html
282163092710		ON	CPC	BROAD	http://www.miniinthebox.com/household-pets_c3026
282825712990		ON	CPC	BROAD	http://www.miniinthebox.com/hid-halogen-lights_c3118
282162987750		ON	CPC	BROAD	http://www.miniinthebox.com/helmet-headsets-mini_c10294
282163090011		OFF	CPC	BROAD	http://www.miniinthebox.com/h7-super-white-car-light-bulbs-100w-2-pack-dc-12v_p691712.html
282825712864		ON	CPC	BROAD	http://www.miniinthebox.com/h7-px26d-80w-16xcree-cold-white-4500lm-6500k-for-car-fog-light-ac-dc12v-24_p2528400.html
282825712800		ON	CPC	BROAD	http://www.miniinthebox.com/h4-cree-ledx12-60w-6500k-7000k-white-light-led-bulb-for-car-12-24v-1pc_p2269878.html
282163091881		ON	CPC	BROAD	http://www.miniinthebox.com/h4-4-2w-126x3528-smd-6500-7000k-white-light-led-blub-for-car-lamps-dc-12v_p402406.html
282163093177		OFF	CPC	BROAD	http://www.miniinthebox.com/h1-50w-3500lm-6000k-cool-white-light-led-bulb-for-car-12-30v-2-pcs_p1047391.html
282163091445		ON	CPC	BROAD	http://www.miniinthebox.com/griffin-usb-car-charger-for-iphone-samsung-and-other-cellphone-5v-2-1a_p1813126.html
282163095146		ON	CPC	BROAD	http://www.miniinthebox.com/great-deals_c9603
282825712996		ON	CPC	BROAD	http://www.miniinthebox.com/goggles-mini_c10293
282162952505		OFF	CPC	BROAD	http://www.miniinthebox.com/general-mobile-phone-bracket_p4478382.html
282163092470		ON	CPC	BROAD	http://www.miniinthebox.com/gadgets-auto-parts_c3117
293745800818		ON	CPC	BROAD	http://www.miniinthebox.com/fm-transmitters_c3116
282163091658		OFF	CPC	BROAD	http://www.miniinthebox.com/fm-transmitter-with-bluetooth-handsfree-car-kit-with-wireless-controller-bluetooth-2-0-mp3-play-usb-tf-card_p2958796.html
282163093783		ON	CPC	BROAD	http://www.miniinthebox.com/flash-sale_c9359
282163097077		ON	CPC	BROAD	http://www.miniinthebox.com/flash-sale_c9359
282162967841		ON	CPC	BROAD	http://www.miniinthebox.com/eye-protection_c9892
282163093434		OFF	CPC	BROAD	http://www.miniinthebox.com/exterior-care_c9805
282163091523		ON	CPC	BROAD	http://www.miniinthebox.com/exterior-accessories_c9821
282162978257		ON	CPC	BROAD	http://www.miniinthebox.com/exhaust-systems_c9908
282163095691		ON	CPC	BROAD	http://www.miniinthebox.com/emergency-tools_c9864
282163005763		OFF	CPC	BROAD	http://www.miniinthebox.com/elm327-wireless-obd-scan-tool_p479036.html
282162957366		ON	CPC	BROAD	http://www.miniinthebox.com/elm327-wifi-obd2-obd-ii-car-diagnostic-reader-scanner-with-wireless-for-iphone_p1272165.html
282163098164		ON	CPC	BROAD	http://www.miniinthebox.com/elm327-obdii-v1-5-can-bus-bluetooth-diagnostic-interface-scanner_p1161475.html
282162952414		OFF	CPC	BROAD	http://www.miniinthebox.com/elm327-latest-version-v2-1-bluetooth-super-mini-elm327-obd2-ii-scan-tool-car-auto-diagnostic-tool-for-windows-blue_p3077306.html
282163094702		ON	CPC	BROAD	http://www.miniinthebox.com/electronics-gadgets_c2624
282163094008		ON	CPC	BROAD	http://www.miniinthebox.com/electronics-gadgets-for-apple_c7174
282163091104		ON	CPC	BROAD	http://www.miniinthebox.com/driving-aids_c3114
282825712896		ON	CPC	PHRASE	http://www.miniinthebox.com/diy-parts_c4963
282163090470		ON	CPC	BROAD	http://www.miniinthebox.com/diy-car-windshield-repair-kit-auto-glass-windscreen-repair-set_p1416189.html
282163097547		ON	CPC	BROAD	http://www.miniinthebox.com/diagnostic-tools-equipment_c5212
282163093662		ON	CPC	BROAD	http://www.miniinthebox.com/decorations_c3113
282163097616		ON	CPC	BROAD	http://www.miniinthebox.com/cushions-blankets_c9888
282163095512		ON	CPC	BROAD	http://www.miniinthebox.com/cup-style-smartphone-car-dashboard-holder-assorted-color_p4808038.html
282163092834		ON	CPC	BROAD	http://www.miniinthebox.com/index.php?main_page=index
282163097076		ON	CPC	BROAD	http://www.miniinthebox.com/consoles-organizers_c9886
282162987154		ON	CPC	BROAD	http://www.miniinthebox.com/conquer-2pcs-20w-3600lumens-h4-high-power-high-brightness-cree-led-headlight-for-car_p2708508.html
282163001998		ON	CPC	BROAD	http://www.miniinthebox.com/computer-gadgets_c3017
282163097618		ON	CPC	BROAD	http://www.miniinthebox.com/cleaning-tools_c5218
282163009917		ON	CPC	BROAD	http://www.miniinthebox.com/cleaning-detailing-tools_c9812
282162999083		ON	CPC	BROAD	http://www.miniinthebox.com/cellphone-device-holders_c3106
282162973300		ON	CPC	BROAD	http://www.miniinthebox.com/cell-phone-accessories_c3021
282825712878		ON	CPC	BROAD	http://www.miniinthebox.com/car-vacuum-cleaner_c9814
282162961016		ON	CPC	BROAD	http://www.miniinthebox.com/car-stickers_c4697
282163094816		ON	CPC	BROAD	http://www.miniinthebox.com/car-scratch-repair-pen-simoniz-paint-applicator_p419106.html
282162998896		ON	CPC	BROAD	http://www.miniinthebox.com/car-rear-view-camera_c9847
282163093972		ON	CPC	BROAD	http://www.miniinthebox.com/car-phone-holder-car-phone-holder-car-navigation-steering-rack-telescopic-clip_p4784752.html
282163096742		ON	CPC	BROAD	http://www.miniinthebox.com/car-paster-stereo-metal-paster-angel-wings-stickers-for-car-silver_p4811565.html
282163096515		ON	CPC	BROAD	http://www.miniinthebox.com/car-paint-pen_c9815
282825713023		ON	CPC	PHRASE	http://www.miniinthebox.com/car-mp3-wireless-fm-transmitter-for-usb-sd-tf-card-12v-24v_p4426627.html
282825712791		ON	CPC	BROAD	http://www.miniinthebox.com/car-mp3-player-fm-transmitter-sd-usb-3-5mm-_p86286.html
282163091866		ON	CPC	BROAD	http://www.miniinthebox.com/car-monitors_c9844
282825713003		ON	CPC	BROAD	http://www.miniinthebox.com/car-lights_c9816
282163094071		ON	CPC	BROAD	http://www.miniinthebox.com/car-light-membrane-translucent-membrane-heterochrosis-membrane-scrub-rear-light-film-100cm-30cm_p1726451.html
282162979135		ON	CPC	BROAD	http://www.miniinthebox.com/car-led-light-bulbs_c3103
282162977574		ON	CPC	BROAD	http://www.miniinthebox.com/car-kit-mp3-player-fm-transmitter-lcd-backlight-display-remote-control-usb-sd-mmc-slot_p1460752.html
282163093615		ON	CPC	BROAD	http://www.miniinthebox.com/car-gps_c4732
282162962379		ON	CPC	PHRASE	http://www.miniinthebox.com/car-electronics_c9817
282163001307		ON	CPC	BROAD	http://www.miniinthebox.com/car-dvr-mini_c10253
282163093141		ON	CPC	BROAD	http://www.miniinthebox.com/car-dual-usb-charger-socket-12v-24v_p4788936.html
282163096191		ON	CPC	BROAD	http://www.miniinthebox.com/car-decals-sticker-water-resistant-removeable-paster-for-car_p4811569.html
282163096592		ON	CPC	BROAD	http://www.miniinthebox.com/car-day-and-night-anti-glare-goggles-night-vision-driving-mirror-sun-visors_p4787426.html
282163091036		ON	CPC	BROAD	http://www.miniinthebox.com/car-care_c9786
282163091715		ON	CPC	BROAD	http://www.miniinthebox.com/car-auto-heavy-duty-power-driver-door-lock-locking-actuator-motor-5-wire-dc-12v_p4815987.html
282162991148		ON	CPC	BROAD	http://www.miniinthebox.com/car-audio-music-player-fm-transmitter-with-phone-holder-wireless-led-display-fm-frequency-handsfree-talking-usb-charger_p4791406.html
282162988033		ON	CPC	BROAD	http://www.miniinthebox.com/car-audio-cassette-adapter-for-mp3-mp3-cell-phones-black-3-5mm-plug_p1394847.html
282825712830		ON	CPC	BROAD	http://www.miniinthebox.com/car-alarms_c10249
282163093425		ON	CPC	BROAD	http://www.miniinthebox.com/hr/car-accessories_c3019
